candidate_id,rank,score,reasoning
CAND_0005649,1,0.856744,"7.4 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0039754,2,0.830427,"16.2 years of experience as a Senior Applied Scientist, strong production and retrieval experience, current role 'Senior Applied Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0077337,3,0.823945,"7.0 years of experience as a Staff Machine Learning Engineer, strong production and retrieval experience, current role 'Staff Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0018499,4,0.82255,"7.2 years of experience as a Senior Machine Learning Engineer, strong production and retrieval experience, current role 'Senior Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0011162,5,0.822276,"5.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0017960,6,0.815787,"7.7 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0028793,7,0.812925,"7.2 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0079387,8,0.81094,"6.9 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0046064,9,0.81074,"8.9 years of experience as a Senior NLP Engineer, strong production and retrieval experience, current role 'Senior NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0068811,10,0.810483,"8.0 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0075574,11,0.809104,"5.7 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0071974,12,0.805127,"7.8 years of experience as a Senior AI Engineer, strong production and retrieval experience, current role 'Senior AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0011687,13,0.796052,"7.8 years of experience as a Senior NLP Engineer, strong production and retrieval experience, current role 'Senior NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0018549,14,0.7955,"6.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0041610,15,0.79208,"6.7 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0044883,16,0.791451,"6.3 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0041669,17,0.790824,"8.0 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0086022,18,0.789478,"5.3 years of experience as a Senior Applied Scientist, strong production and retrieval experience, current role 'Senior Applied Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0081846,19,0.789364,"6.7 years of experience as a Lead AI Engineer, strong production and retrieval experience, current role 'Lead AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0053695,20,0.786975,"5.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0064326,21,0.782718,"7.6 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0086151,22,0.778273,"7.7 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0055992,23,0.777697,"16.9 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0066999,24,0.774811,"5.9 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0010257,25,0.774058,"6.5 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0006557,26,0.772579,"7.9 years of experience as a NLP Engineer, strong production and retrieval experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0000031,27,0.771058,"6.0 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0062247,28,0.766681,"7.3 years of experience as a AI Engineer, relevant production experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0006418,29,0.763581,"5.7 years of experience as a Machine Learning Engineer, relevant production experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0002025,30,0.76249,"5.9 years of experience as a Senior AI Engineer, strong production and retrieval experience, current role 'Senior AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0061265,31,0.761407,"6.6 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0098846,32,0.761227,"7.6 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0044855,33,0.760003,"6.6 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position."
CAND_0046525,34,0.758634,"6.1 years of experience as a Senior Machine Learning Engineer, strong production and retrieval experience, current role 'Senior Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0069905,35,0.75524,"6.6 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0018722,36,0.751082,"6.6 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0070398,37,0.74987,"7.2 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0080766,38,0.749669,"8.8 years of experience as a Staff Machine Learning Engineer, strong production and retrieval experience, current role 'Staff Machine Learning Engineer' closely matches the target AI/ML position, short notice period."
CAND_0060054,39,0.748939,"6.4 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0081053,40,0.748902,"5.4 years of experience as a NLP Engineer, relevant production experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0074225,41,0.747626,"4.3 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0030953,42,0.742493,"7.8 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position."
CAND_0083307,43,0.741707,"7.8 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0051292,44,0.740764,"5.2 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0013613,45,0.739489,"4.7 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0061339,46,0.739334,"4.2 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0091909,47,0.738661,"6.9 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0075249,48,0.737871,"6.2 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0053591,49,0.73754,"5.3 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0099806,50,0.736629,"4.6 years of experience as a AI Engineer, relevant production experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0039383,51,0.735891,"7.1 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0088025,52,0.734931,"8.6 years of experience as a Staff Machine Learning Engineer, strong production and retrieval experience, current role 'Staff Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0007009,53,0.734562,"7.9 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0042029,54,0.733705,"6.5 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, strong GitHub activity."
CAND_0026532,55,0.732557,"4.8 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0044222,56,0.730557,"7.7 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0031593,57,0.728279,"7.8 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0020877,58,0.728118,"5.1 years of experience as a Applied ML Engineer, relevant production experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, strong GitHub activity."
CAND_0001610,59,0.727933,"3.0 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0008425,60,0.727196,"7.8 years of experience as a Senior NLP Engineer, strong production and retrieval experience, current role 'Senior NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0077285,61,0.724836,"5.5 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0057563,62,0.72103,"6.8 years of experience as a NLP Engineer, strong production and retrieval experience, current role 'NLP Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0007412,63,0.720826,"7.4 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0093912,64,0.720602,"5.3 years of experience as a Senior Data Scientist, relevant production experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0027691,65,0.719697,"6.5 years of experience as a NLP Engineer, strong production and retrieval experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0041568,66,0.718817,"5.2 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0058688,67,0.714858,"6.7 years of experience as a AI Engineer, relevant production experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0010770,68,0.714746,"15.2 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0010685,69,0.714516,"6.7 years of experience as a NLP Engineer, strong production and retrieval experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0050454,70,0.713501,"6.8 years of experience as a AI Engineer, relevant production experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0052335,71,0.712989,"6.4 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0058575,72,0.712103,"5.8 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0055905,73,0.711242,"8.1 years of experience as a Senior Machine Learning Engineer, strong production and retrieval experience, current role 'Senior Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0014440,74,0.71124,"6.4 years of experience as a Recommendation Systems Engineer, strong production and retrieval experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0042506,75,0.709955,"4.2 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0042100,76,0.703711,"7.3 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0022812,77,0.703018,"4.5 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0007411,78,0.70055,"8.0 years of experience as a Senior Machine Learning Engineer, strong production and retrieval experience, current role 'Senior Machine Learning Engineer' closely matches the target AI/ML position, short notice period."
CAND_0094759,79,0.700299,"8.6 years of experience as a Lead AI Engineer, strong production and retrieval experience, current role 'Lead AI Engineer' closely matches the target AI/ML position, short notice period."
CAND_0037980,80,0.699947,"9.0 years of experience as a Senior Applied Scientist, strong production and retrieval experience, current role 'Senior Applied Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0016163,81,0.698115,"6.7 years of experience as a Applied ML Engineer, relevant production experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0078492,82,0.697493,"5.1 years of experience as a Recommendation Systems Engineer, relevant production experience, current role 'Recommendation Systems Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0047721,83,0.69677,"7.0 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, long notice period."
CAND_0006567,84,0.696747,"7.9 years of experience as a Senior AI Engineer, strong production and retrieval experience, current role 'Senior AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0033861,85,0.696631,"8.0 years of experience as a Senior NLP Engineer, strong production and retrieval experience, current role 'Senior NLP Engineer' closely matches the target AI/ML position, short notice period."
CAND_0019480,86,0.696142,"2.8 years of experience as a NLP Engineer, strong production and retrieval experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0050876,87,0.695898,"6.0 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0081852,88,0.694026,"5.9 years of experience as a Senior Data Scientist, relevant production experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0036863,89,0.691642,"4.3 years of experience as a Senior Data Scientist, strong production and retrieval experience, current role 'Senior Data Scientist' closely matches the target AI/ML position, currently open to work."
CAND_0081686,90,0.690908,"6.0 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0009691,91,0.690371,"6.2 years of experience as a Applied ML Engineer, relevant production experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0052682,92,0.689908,"6.6 years of experience as a NLP Engineer, relevant production experience, current role 'NLP Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0091534,93,0.688671,"16.6 years of experience as a AI Engineer, strong production and retrieval experience, current role 'AI Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0094056,94,0.68841,"5.9 years of experience as a NLP Engineer, relevant production experience, current role 'NLP Engineer' closely matches the target AI/ML position, high recruiter response rate."
CAND_0065195,95,0.687835,"5.1 years of experience as a Search Engineer, relevant production experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0024466,96,0.687569,"5.2 years of experience as a Search Engineer, strong production and retrieval experience, current role 'Search Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0096142,97,0.687346,"5.0 years of experience as a Applied ML Engineer, strong production and retrieval experience, current role 'Applied ML Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0008239,98,0.686892,"4.0 years of experience as a AI Engineer, relevant production experience, current role 'AI Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0040887,99,0.68431,"4.7 years of experience as a Machine Learning Engineer, relevant production experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
CAND_0078002,100,0.682039,"6.3 years of experience as a Machine Learning Engineer, strong production and retrieval experience, current role 'Machine Learning Engineer' closely matches the target AI/ML position, currently open to work."
